DeviceId;EpochTimestamp;Timestamp;State;WaterTemperature;WaterLevel
CoffeeMachine;1,67E+12;2022-12-06T09:26:14.896Z;Not Brewing;9.394.755.996.963.500;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:16.897Z;Not Brewing;876.716.781.470.238;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:18.900Z;Not Brewing;9.365.751.384.194.650;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:20.904Z;Not Brewing;8.341.280.198.936.280;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:22.912Z;Not Brewing;9.910.045.967.450.980;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:24.913Z;Not Brewing;9.015.789.834.631.420;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:26.922Z;Not Brewing;9.209.418.517.271.930;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:28.924Z;Not Brewing;8.508.327.567.817.830;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:30.928Z;Not Brewing;9.294.905.780.239.050;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:32.932Z;Not Brewing;9.405.470.690.957.770;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:34.934Z;Not Brewing;9.843.126.294.852.630;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:36.945Z;Not Brewing;8.411.076.646.836.550;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:38.948Z;Not Brewing;8.287.273.402.968.240;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:40.961Z;Not Brewing;8.705.855.915.330.220;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:42.969Z;Not Brewing;9.340.626.915.006.240;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:44.977Z;Not Brewing;801.066.063.401.956;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:46.980Z;Not Brewing;9.785.057.618.022.330;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:48.991Z;Not Brewing;8.266.414.351.034.540;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:51.004Z;Not Brewing;9.708.376.911.270.100;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:53.016Z;Not Brewing;9.515.200.429.856.790;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:55.030Z;Not Brewing;955.083.390.872.361;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:57.040Z;Not Brewing;893.570.314.414.209;51
CoffeeMachine;1,67E+12;2022-12-06T09:26:59.049Z;Not Brewing;8.762.288.764.898.840;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:01.054Z;Not Brewing;9.818.056.343.944.270;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:03.069Z;Not Brewing;9.109.496.600.136.550;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:05.073Z;Not Brewing;8.039.838.645.304.140;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:07.080Z;Not Brewing;8.447.444.843.474.040;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:09.094Z;Not Brewing;8.513.696.310.679.320;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:11.106Z;Not Brewing;8.633.077.421.740.400;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:13.118Z;Not Brewing;8.622.370.501.985.750;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:15.125Z;Not Brewing;931.785.068.258.555;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:17.127Z;Not Brewing;902.093.062.332.704;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:19.129Z;Not Brewing;8.636.256.094.506.470;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:21.134Z;Not Brewing;9.232.159.687.591.960;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:23.138Z;Not Brewing;953.297.401.312.611;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:25.140Z;Not Brewing;8.501.014.733.390.460;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:27.147Z;Not Brewing;8.760.186.170.536.080;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:29.153Z;Not Brewing;9.669.669.617.764.790;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:31.156Z;Not Brewing;992.666.203.007.313;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:33.163Z;Not Brewing;810.793.428.028.314;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:35.165Z;Not Brewing;8.658.719.464.308.880;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:37.173Z;Not Brewing;9.015.185.557.719.010;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:39.176Z;Not Brewing;9.303.130.257.343.140;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:41.197Z;Not Brewing;9.382.640.979.976.990;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:43.202Z;Not Brewing;8.286.920.832.991.200;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:45.205Z;Not Brewing;9.763.650.050.374.750;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:47.206Z;Not Brewing;8.800.962.123.565.410;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:49.215Z;Not Brewing;8.495.009.117.201.600;51
CoffeeMachine;1,67E+12;2022-12-06T09:27:51.226Z;Not Brewing;9.823.731.586.954.600;51
